,Datum,CDU/CSU,SPD,GRÜNE,FDP,LINKE,AfD,Sonstige,Befragte
0,2017-05-26,37.0,26.0,8.0,9.0,8.0,8.0,4.0,1.457
1,2017-04-25,36.0,31.0,7.0,6.0,9.0,7.0,4.0,1.407
2,2017-03-28,34.0,33.0,7.5,6.5,8.0,7.0,4.0,1.397
3,2017-02-22,33.0,30.5,8.0,7.0,8.0,8.5,5.0,1.542
4,2017-01-26,36.0,23.0,9.0,7.0,9.5,11.5,4.0,1.441
5,2016-12-22,35.5,22.0,10.0,7.5,9.5,10.5,5.0,1.459
6,2016-11-16,34.0,23.0,11.0,7.5,9.0,10.5,5.0,1.436
7,2016-10-20,33.0,22.0,12.0,7.5,9.0,12.5,4.0,1.458
8,2016-09-22,33.5,24.0,11.0,7.0,7.0,12.5,5.0,1.407
9,2016-08-24,34.5,23.0,11.5,7.5,9.0,10.0,4.5,1.496
10,2016-07-21,35.5,22.5,12.0,7.0,9.5,9.5,4.0,1.466
11,2016-06-15,33.5,21.0,12.0,8.0,9.0,11.5,5.0,1.396
12,2016-05-17,33.5,21.0,11.5,8.0,9.0,12.5,4.5,1.474
13,2016-04-20,33.5,23.0,11.0,8.0,9.0,10.5,5.0,1.388
14,2016-03-18,35.0,24.5,10.0,7.0,9.0,10.5,4.0,1.456
15,2016-02-17,33.5,24.0,10.0,7.0,10.0,10.5,5.0,1.521
16,2016-01-26,35.0,25.0,9.0,6.5,9.5,10.0,5.0,1.431
17,2015-12-16,38.0,26.0,9.5,5.0,8.5,8.0,5.0,1.457
18,2015-11-19,37.5,26.0,9.5,5.5,9.5,7.0,5.0,1.448
19,2015-10-20,38.0,26.0,9.5,5.5,9.0,7.0,5.0,1.4
20,2015-09-16,42.0,25.5,9.5,6.0,8.5,3.5,5.0,1.4
21,2015-08-19,41.5,26.0,9.5,5.5,9.0,3.5,5.0,1.4
22,2015-07-16,40.5,25.5,10.0,5.5,9.5,4.0,5.0,1.2
23,2015-06-18,41.5,26.0,10.0,5.0,8.5,4.0,5.0,1.4
24,2015-05-21,41.5,25.5,9.5,5.0,9.0,5.0,4.5,1.45
25,2015-04-16,40.5,26.5,9.5,5.0,8.5,6.0,4.0,1.43
26,2015-03-19,41.5,26.0,9.5,5.0,8.0,6.0,4.0,1.5
27,2015-02-19,41.0,25.5,9.5,5.0,9.0,6.0,4.0,1.4
28,2015-01-28,41.5,25.0,10.5,4.0,8.5,6.0,4.5,1.455
29,2014-12-17,40.5,26.0,9.5,3.5,8.5,7.0,5.0,1.505
30,2014-11-19,40.5,27.0,9.5,3.5,8.0,6.5,5.0,
31,2014-10-21,39.5,26.0,10.5,3.0,8.5,7.5,5.0,
32,2014-09-17,41.0,25.5,10.0,4.0,8.5,6.5,4.5,
33,2014-08-20,41.0,26.5,10.0,3.0,8.0,6.5,5.0,
34,2014-07-16,40.5,25.0,11.0,3.5,8.5,6.0,5.5,
35,2014-06-20,40.0,26.0,10.0,4.0,8.0,6.0,6.0,
36,2014-05-14,39.5,26.0,10.5,5.0,8.0,5.5,5.5,
37,2014-04-16,40.0,26.5,11.0,4.5,8.0,5.0,5.0,1.571
38,2014-03-19,40.5,25.0,10.0,5.0,9.0,5.0,5.5,
39,2014-02-20,40.0,26.5,10.5,4.0,9.0,5.0,5.0,
40,2014-01-29,40.0,26.0,10.0,5.0,8.5,5.0,5.5,
41,2013-12-19,41.5,25.5,10.5,4.0,9.0,4.5,5.0,
42,2013-11-27,40.0,26.5,10.0,4.0,9.5,5.0,5.0,
43,2013-10-23,41.0,25.0,9.0,5.0,9.0,5.5,5.5,
