,Datum,CDU/CSU,SPD,GRÜNE,FDP,LINKE,AfD,Sonstige,Befragte
0,2017-06-17,39.0,25.0,7.0,7.0,9.0,8.0,5.0,2.054
1,2017-06-10,39.0,25.0,8.0,7.0,9.0,8.0,4.0,1.398
2,2017-06-03,38.0,27.0,7.0,7.0,8.0,8.0,5.0,1.838
3,2017-05-27,38.0,25.0,8.0,8.0,8.0,8.0,5.0,1.703
4,2017-05-20,38.0,26.0,7.0,7.0,9.0,8.0,5.0,2.413
5,2017-05-13,37.0,27.0,8.0,6.0,10.0,8.0,4.0,1.837
6,2017-05-06,36.0,28.0,7.0,6.0,9.0,9.0,5.0,1.935
7,2017-04-29,36.0,29.0,7.0,6.0,9.0,9.0,4.0,2.439
8,2017-04-22,36.0,31.0,6.0,5.0,9.0,9.0,4.0,1.412
9,2017-04-15,35.0,31.0,7.0,6.0,9.0,9.0,3.0,2.436
10,2017-04-08,35.0,33.0,7.0,5.0,8.0,9.0,3.0,1.958
11,2017-04-01,33.0,33.0,7.0,6.0,8.0,8.0,5.0,2.416
12,2017-03-25,33.0,33.0,8.0,5.0,8.0,9.0,4.0,2.45
13,2017-03-18,33.0,32.0,8.0,5.0,8.0,9.0,5.0,1.832
14,2017-03-11,33.0,33.0,7.0,6.0,8.0,8.0,5.0,1.882
15,2017-03-04,33.0,32.0,7.0,6.0,8.0,10.0,4.0,1.403
16,2017-02-25,32.0,32.0,7.0,7.0,8.0,9.0,5.0,1.88
17,2017-02-18,32.0,33.0,7.0,6.0,8.0,9.0,5.0,1.885
18,2017-02-11,33.0,32.0,7.0,6.0,8.0,10.0,4.0,1.966
19,2017-02-04,33.0,29.0,8.0,6.0,8.0,11.0,5.0,2.233
20,2017-01-28,37.0,23.0,10.0,6.0,10.0,11.0,3.0,1.996
21,2017-01-21,36.0,21.0,9.0,6.0,11.0,12.0,5.0,2.805
22,2017-01-14,37.0,21.0,10.0,6.0,10.0,12.0,4.0,1.878
23,2017-01-07,38.0,22.0,10.0,5.0,9.0,12.0,4.0,834.0
24,2016-12-24,36.0,21.0,10.0,6.0,10.0,13.0,4.0,2.326
25,2016-12-17,36.0,22.0,11.0,5.0,10.0,12.0,4.0,2.411
26,2016-12-10,36.0,22.0,10.0,5.0,10.0,13.0,4.0,2.426
27,2016-12-03,37.0,22.0,11.0,5.0,10.0,12.0,3.0,2.658
28,2016-11-26,35.0,23.0,11.0,5.0,9.0,12.0,5.0,2.426
29,2016-11-19,33.0,24.0,12.0,5.0,9.0,13.0,4.0,2.859
30,2016-11-12,34.0,23.0,11.0,5.0,10.0,12.0,5.0,2.782
31,2016-11-05,34.0,22.0,11.0,5.0,10.0,12.0,6.0,1.678
32,2016-10-29,34.0,23.0,11.0,5.0,10.0,12.0,5.0,1.84
33,2016-10-22,33.0,23.0,11.0,5.0,10.0,13.0,5.0,1.961
34,2016-10-15,32.0,24.0,11.0,6.0,9.0,13.0,5.0,2.827
35,2016-10-08,32.0,23.0,12.0,6.0,10.0,12.0,5.0,1.866
36,2016-10-01,32.0,23.0,11.0,7.0,10.0,12.0,5.0,1.939
37,2016-09-24,32.0,23.0,11.0,6.0,9.0,14.0,5.0,2.798
38,2016-09-17,32.0,24.0,11.0,5.0,9.0,14.0,5.0,2.78
39,2016-09-10,33.0,23.0,11.0,6.0,9.0,13.0,5.0,2.423
40,2016-09-03,34.0,23.0,11.0,6.0,9.0,12.0,5.0,1.966
41,2016-08-27,34.0,22.0,12.0,5.0,10.0,11.0,6.0,1.981
42,2016-08-20,34.0,23.0,13.0,5.0,9.0,10.0,6.0,2.358
43,2016-08-13,34.0,22.0,12.0,6.0,10.0,11.0,5.0,2.352
44,2016-08-06,34.0,22.0,12.0,6.0,10.0,11.0,5.0,2.815
45,2016-07-30,35.0,23.0,11.0,5.0,9.0,12.0,5.0,2.815
46,2016-07-23,35.0,23.0,12.0,5.0,10.0,10.0,5.0,1.87
47,2016-07-16,35.0,24.0,12.0,5.0,9.0,10.0,5.0,1.973
48,2016-07-09,35.0,23.0,13.0,5.0,9.0,10.0,5.0,1.402
49,2016-07-02,33.0,23.0,12.0,6.0,10.0,11.0,5.0,1.936
50,2016-06-25,32.0,23.0,13.0,6.0,9.0,12.0,5.0,1.905
51,2016-06-18,33.0,22.0,13.0,6.0,9.0,12.0,5.0,2.744
52,2016-06-11,34.0,21.0,14.0,6.0,9.0,11.0,5.0,1.838
53,2016-06-04,33.0,22.0,13.0,6.0,9.0,12.0,5.0,1.851
54,2016-05-28,33.0,21.0,12.0,6.0,9.0,14.0,5.0,2.881
55,2016-05-21,32.0,22.0,12.0,6.0,9.0,13.0,6.0,1.485
56,2016-05-14,33.0,23.0,13.0,5.0,9.0,13.0,4.0,1.922
57,2016-05-07,32.0,22.0,12.0,6.0,9.0,14.0,5.0,1.838
58,2016-04-30,33.0,22.0,12.0,6.0,9.0,13.0,5.0,2.805
59,2016-04-23,33.0,22.0,13.0,6.0,9.0,12.0,5.0,2.393
60,2016-04-16,33.0,22.0,13.0,7.0,9.0,11.0,5.0,1.941
61,2016-04-09,34.0,22.0,13.0,7.0,8.0,12.0,4.0,2.24
62,2016-04-02,33.0,22.0,13.0,6.0,8.0,13.0,5.0,1.405
63,2016-03-26,34.0,22.0,13.0,6.0,9.0,12.0,4.0,2.828
64,2016-03-19,34.0,22.0,13.0,6.0,9.0,13.0,3.0,2.424
65,2016-03-12,36.0,24.0,11.0,5.0,9.0,11.0,4.0,2.34
66,2016-03-05,35.0,24.0,10.0,5.0,10.0,11.0,5.0,1.869
67,2016-02-27,36.0,24.0,10.0,5.0,9.0,11.0,5.0,1.978
