,Datum,CDU/CSU,SPD,GRÜNE,FDP,LINKE,PIRATEN,FW,AfD,Sonstige,Befragte
0,2017-06-20,36.5,25.0,6.5,9.0,11.0,,,9.0,3.0,2.04
1,2017-06-12,37.5,23.5,6.5,9.0,11.0,,,9.0,3.5,2.051
2,2017-06-06,38.0,23.0,7.0,9.0,11.0,,,8.0,4.0,2.037
3,2017-05-29,35.5,26.0,6.0,10.0,10.0,,,9.0,3.5,2.053
4,2017-05-22,36.5,26.0,6.0,9.5,10.0,,,8.0,4.0,2.042
5,2017-05-16,36.0,27.0,6.0,8.0,9.0,,,10.0,4.0,2.037
6,2017-05-09,35.0,27.0,7.0,7.0,10.0,,,10.0,4.0,2.067
7,2017-05-02,34.0,28.5,6.5,7.0,10.5,,,9.0,4.5,2.035
8,2017-04-25,34.0,30.0,6.5,6.5,9.5,,,10.0,3.5,2.041
9,2017-04-19,34.0,30.5,6.0,6.5,9.0,,,10.0,4.0,2.038
10,2017-04-10,33.0,31.5,6.5,6.5,8.5,,,10.0,4.0,2.03
11,2017-04-03,32.0,32.5,6.5,6.5,9.0,,,9.0,4.5,2.033
12,2017-03-27,32.0,32.0,6.5,6.0,8.5,,,11.0,4.0,2.034
13,2017-03-20,31.0,32.0,6.5,6.5,8.5,,,11.5,4.0,1.933
14,2017-03-13,31.0,31.0,6.5,7.0,8.5,,,11.5,4.5,2.051
15,2017-03-07,30.5,31.5,6.5,7.5,8.5,,,11.0,4.5,2.022
16,2017-02-28,30.5,32.0,6.5,7.0,8.0,,,11.0,5.0,2.004
17,2017-02-21,31.5,30.0,6.5,5.5,9.5,,,11.0,6.0,2.03
18,2017-02-13,30.0,31.0,7.0,5.0,10.0,,,12.0,5.0,2.028
19,2017-02-06,30.0,31.0,7.0,6.0,10.0,,,12.0,4.0,2.042
20,2017-01-30,32.5,26.0,7.5,6.5,10.5,,,13.0,4.0,2.088
21,2017-01-23,32.5,21.0,8.5,7.5,11.0,,,14.5,5.0,1.992
22,2017-01-17,33.5,21.0,8.5,7.5,11.0,,,13.5,5.0,2.031
23,2017-01-09,32.0,21.0,9.0,7.0,11.0,,,15.0,5.0,2.054
24,2017-01-03,32.0,21.0,10.0,6.0,11.5,,,15.0,4.5,2.099
25,2016-12-23,31.5,20.5,10.0,6.0,11.5,,,15.5,5.0,2.083
26,2016-12-20,33.0,21.5,10.0,6.5,11.5,,,13.0,4.5,2.116
27,2016-12-13,32.0,21.5,11.5,5.5,12.0,,,13.0,4.5,1.455
28,2016-12-06,32.0,22.5,10.5,5.0,11.5,,,14.0,4.5,2.08
29,2016-11-28,32.5,22.0,10.0,5.5,11.5,,,13.5,5.0,2.097
30,2016-11-22,31.5,22.0,10.5,5.5,10.5,,,15.0,5.0,2.03
31,2016-11-14,30.0,22.5,10.5,6.5,11.5,,,14.5,4.5,2.037
32,2016-11-08,30.5,22.0,11.0,7.0,10.5,,,13.5,5.5,2.045
33,2016-11-02,30.5,22.5,11.0,6.5,11.5,,,13.0,5.0,2.037
34,2016-10-25,30.5,22.5,11.5,6.0,11.5,,,14.0,4.0,2.043
35,2016-10-18,29.5,21.5,12.0,6.5,12.5,,,13.5,4.5,2.077
36,2016-10-10,29.5,22.0,11.0,6.5,12.0,,,15.0,4.0,2.085
37,2016-10-05,30.0,21.0,11.5,7.0,11.5,,,15.0,4.0,2.049
38,2016-09-27,30.0,21.0,10.0,7.0,11.0,,,15.5,5.5,2.048
39,2016-09-19,30.0,22.0,11.0,7.0,10.0,,,15.0,5.0,2.069
40,2016-09-13,30.5,21.5,11.0,7.0,10.0,,,15.0,5.0,2.035
41,2016-09-05,30.5,21.5,11.5,6.5,9.5,,,15.0,5.5,2.071
42,2016-08-30,30.5,21.0,11.5,7.0,10.5,,,14.5,5.0,2.013
43,2016-08-23,31.0,21.0,11.5,6.5,10.5,,,14.0,5.5,2.02
44,2016-08-16,31.0,20.5,11.0,7.0,11.5,,,13.5,5.5,2.046
45,2016-08-09,31.5,21.0,11.5,6.5,11.5,,,13.0,5.0,2.056
46,2016-08-02,31.5,21.0,11.0,6.5,11.0,,,13.0,6.0,1.973
47,2016-07-26,31.5,21.5,12.0,6.5,11.5,,,12.0,5.0,2.049
48,2016-07-19,32.0,21.0,12.0,7.0,11.5,,,11.0,5.5,2.038
49,2016-07-11,31.0,20.5,12.0,7.5,11.0,,,12.5,5.5,2.034
50,2016-07-04,30.0,21.0,12.0,8.0,10.0,,,14.5,4.5,2.001
51,2016-06-27,30.0,19.0,13.0,8.0,11.0,,,14.0,5.0,2.054
52,2016-06-20,31.0,20.0,13.0,7.0,11.0,,,13.0,5.0,2.017
53,2016-06-13,30.0,19.5,12.0,8.0,11.0,,,14.0,5.5,2.047
54,2016-06-06,30.0,19.0,13.0,8.0,10.5,,,14.0,5.5,2.032
55,2016-05-31,30.0,19.0,13.0,8.0,9.5,,,15.0,5.5,2.053
56,2016-05-23,30.5,19.5,13.0,7.0,10.0,,,15.0,5.0,2.022
