Datum,CDU,SPD,Gruene,FDP,Linke,AfD,Sonstige,Befragte,Zeitraum
29.04.17,0.36,0.29,0.07,0.06,0.09,0.09,0.04,2.439,20.04._26.04.
22.04.17,0.36,0.31,0.06,0.05,0.09,0.09,0.04,1.412,13.04._19.04.
15.04.17,0.35,0.31,0.07,0.06,0.09,0.09,0.03,2.436,06.04._12.04.
08.04.17,0.35,0.33,0.07,0.05,0.08,0.09,0.03,1.958,30.03._05.04.
01.04.17,0.33,0.33,0.07,0.06,0.08,0.08,0.05,2.416,23.03._29.03.
25.03.17,0.33,0.33,0.08,0.05,0.08,0.09,0.04,2.45,16.03._22.03.
18.03.17,0.33,0.32,0.08,0.05,0.08,0.09,0.05,1.832,09.03._15.03.
11.03.17,0.33,0.33,0.07,0.06,0.08,0.08,0.05,1.882,02.03._08.03.
04.03.17,0.33,0.32,0.07,0.06,0.08,0.1,0.04,1.403,23.02._01.03.
25.02.17,0.32,0.32,0.07,0.07,0.08,0.09,0.05,1.88,16.02._22.02.
18.02.17,0.32,0.33,0.07,0.06,0.08,0.09,0.05,1.885,09.02._15.02.
11.02.17,0.33,0.32,0.07,0.06,0.08,0.1,0.04,1.966,02.02._08.02.
04.02.17,0.33,0.29,0.08,0.06,0.08,0.11,0.05,2.233,26.01._02.02.
28.01.17,0.37,0.23,0.1,0.06,0.1,0.11,0.03,1.996,19.01._25.01.
21.01.17,0.36,0.21,0.09,0.06,0.11,0.12,0.05,2.805,12.01._18.01.
14.01.17,0.37,0.21,0.1,0.06,0.1,0.12,0.04,1.878,06.01._11.01.
07.01.17,0.38,0.22,0.1,0.05,0.09,0.12,0.04,834.0,03.01._05.01.
24.12.16,0.36,0.21,0.1,0.06,0.1,0.13,0.04,2.326,15.12._21.12.
17.12.16,0.36,0.22,0.11,0.05,0.1,0.12,0.04,2.411,08.12._14.12.
10.12.16,0.36,0.22,0.1,0.05,0.1,0.13,0.04,2.426,01.12._07.12.
03.12.16,0.37,0.22,0.11,0.05,0.1,0.12,0.03,2.658,24.11._30.11.
26.11.16,0.35,0.23,0.11,0.05,0.09,0.12,0.05,2.426,17.11._23.11.
19.11.16,0.33,0.24,0.12,0.05,0.09,0.13,0.04,2.859,10.11._16.11.
12.11.16,0.34,0.23,0.11,0.05,0.1,0.12,0.05,2.782,03.11._09.11.
05.11.16,0.34,0.22,0.11,0.05,0.1,0.12,0.06,1.678,27.10._02.11.
29.10.16,0.34,0.23,0.11,0.05,0.1,0.12,0.05,1.84,20.10._26.10.
22.10.16,0.33,0.23,0.11,0.05,0.1,0.13,0.05,1.961,13.10._19.10.
15.10.16,0.32,0.24,0.11,0.06,0.09,0.13,0.05,2.827,06.10._12.10.
08.10.16,0.32,0.23,0.12,0.06,0.1,0.12,0.05,1.866,29.09._05.10.
01.10.16,0.32,0.23,0.11,0.07,0.1,0.12,0.05,1.939,22.09._28.09.
24.09.16,0.32,0.23,0.11,0.06,0.09,0.14,0.05,2.798,15.09._21.09.
17.09.16,0.32,0.24,0.11,0.05,0.09,0.14,0.05,2.78,08.09._14.09.
10.09.16,0.33,0.23,0.11,0.06,0.09,0.13,0.05,2.423,01.09._07.09.
03.09.16,0.34,0.23,0.11,0.06,0.09,0.12,0.05,1.966,25.08._31.08.
27.08.16,0.34,0.22,0.12,0.05,0.1,0.11,0.06,1.981,18.08._24.08.
20.08.16,0.34,0.23,0.13,0.05,0.09,0.1,0.06,2.358,11.08._17.08.
13.08.16,0.34,0.22,0.12,0.06,0.1,0.11,0.05,2.352,04.08._10.08.
06.08.16,0.34,0.22,0.12,0.06,0.1,0.11,0.05,2.815,28.07._03.08.
30.07.16,0.35,0.23,0.11,0.05,0.09,0.12,0.05,2.815,21.07._27.07.
23.07.16,0.35,0.23,0.12,0.05,0.1,0.1,0.05,1.87,14.07._20.07.
16.07.16,0.35,0.24,0.12,0.05,0.09,0.1,0.05,1.973,07.07._13.07.
09.07.16,0.35,0.23,0.13,0.05,0.09,0.1,0.05,1.402,02.07._06.07.
02.07.16,0.33,0.23,0.12,0.06,0.1,0.11,0.05,1.936,23.06._29.06.
25.06.16,0.32,0.23,0.13,0.06,0.09,0.12,0.05,1.905,16.06._22.06.
18.06.16,0.33,0.22,0.13,0.06,0.09,0.12,0.05,2.744,09.06._15.06.
11.06.16,0.34,0.21,0.14,0.06,0.09,0.11,0.05,1.838,02.06._08.08.
04.06.16,0.33,0.22,0.13,0.06,0.09,0.12,0.05,1.851,25.05._01.06.
28.05.16,0.33,0.21,0.12,0.06,0.09,0.14,0.05,2.881,19.05._24.05.
