Datum,CDU,SPD,Gruene,FDP,Linke,AfD,Sonstige,Nichtwaehler,Befragte,Zeitraum
26.04.17,0.36,0.3,0.07,0.06,0.08,0.09,0.04,24%,2.002,18.04._21.04.
19.04.17,0.36,0.3,0.06,0.06,0.09,0.08,0.05,25%,2.007,10.04._13.04.
11.04.17,0.36,0.3,0.07,0.06,0.08,0.08,0.05,23%,2.502,03.04._07.04.
04.04.17,0.36,0.29,0.07,0.05,0.09,0.08,0.06,24%,2.504,27.03._31.03.
29.03.17,0.34,0.32,0.07,0.06,0.08,0.07,0.06,23%,2.501,20.03._24.03.
22.03.17,0.34,0.31,0.07,0.06,0.07,0.09,0.06,23%,2.504,13.03._17.03.
15.03.17,0.33,0.32,0.07,0.06,0.07,0.09,0.06,24%,2.505,06.03._10.03.
08.03.17,0.33,0.32,0.08,0.06,0.07,0.08,0.06,23%,2.502,27.02._03.03.
01.03.17,0.33,0.31,0.08,0.07,0.07,0.09,0.05,23%,2.5,20.02._24.02.
22.02.17,0.34,0.31,0.07,0.06,0.08,0.08,0.06,23%,2.502,13.02._17.02.
15.02.17,0.34,0.31,0.07,0.05,0.08,0.09,0.06,24%,2.502,05.02._10.02.
08.02.17,0.34,0.31,0.08,0.05,0.08,0.1,0.04,24%,2.501,30.01._03.02.
01.02.17,0.35,0.26,0.08,0.06,0.09,0.11,0.05,24%,2.502,23.01._27.01.
25.01.17,0.37,0.21,0.1,0.06,0.09,0.12,0.05,26%,2.504,16.01._20.01.
18.01.17,0.38,0.21,0.09,0.06,0.09,0.11,0.06,26%,2.503,09.01._13.01.
11.01.17,0.37,0.2,0.1,0.06,0.09,0.12,0.06,27%,2.501,02.01._06.01.
04.01.17,0.37,0.21,0.1,0.06,0.09,0.12,0.05,30%,2.001,27.12._30.12.
28.12.16,0.38,0.2,0.1,0.05,0.09,0.12,0.06,27%,2.504,19.12._23.12.
20.12.16,0.36,0.22,0.1,0.06,0.09,0.11,0.06,26%,2.502,12.12._16.12.
14.12.16,0.37,0.21,0.1,0.06,0.09,0.11,0.06,26%,2.506,05.12._09.12.
07.12.16,0.36,0.22,0.11,0.06,0.1,0.1,0.05,25%,2.501,28.11._02.12.
30.11.16,0.37,0.22,0.1,0.05,0.09,0.11,0.06,26%,2.503,21.11._25.11.
23.11.16,0.36,0.23,0.1,0.05,0.1,0.1,0.06,25%,2.505,14.11._18.11.
16.11.16,0.35,0.23,0.11,0.06,0.1,0.1,0.05,26%,2.503,07.11._11.11.
09.11.16,0.34,0.23,0.11,0.06,0.1,0.11,0.05,26%,2.503,31.10._04.11.
02.11.16,0.34,0.22,0.11,0.07,0.1,0.11,0.05,26%,2.503,24.10._28.10.
26.10.16,0.35,0.22,0.11,0.06,0.09,0.12,0.05,29%,2.504,17.10._21.10.
19.10.16,0.34,0.22,0.11,0.06,0.09,0.12,0.06,31%,2.505,10.10._14.10.
12.10.16,0.34,0.22,0.11,0.06,0.1,0.12,0.05,28%,2.004,04.10._07.10.
05.10.16,0.33,0.22,0.11,0.06,0.1,0.13,0.05,28%,2.503,26.09._30.09.
28.09.16,0.33,0.23,0.1,0.06,0.09,0.14,0.05,25%,2.506,19.09._23.09.
21.09.16,0.33,0.23,0.11,0.06,0.08,0.13,0.06,26%,2.504,12.09._16.09.
14.09.16,0.32,0.23,0.11,0.06,0.08,0.13,0.07,28%,2.501,05.09._09.09.
07.09.16,0.33,0.22,0.12,0.07,0.08,0.12,0.06,28%,2.501,29.08._02.09.
31.08.16,0.33,0.22,0.12,0.06,0.09,0.12,0.06,29%,2.503,22.08._26.08.
24.08.16,0.35,0.22,0.12,0.06,0.09,0.1,0.06,29%,2.504,15.08._19.08.
17.08.16,0.36,0.21,0.13,0.06,0.09,0.09,0.06,29%,2.501,08.08._12.08.
10.08.16,0.36,0.21,0.13,0.05,0.1,0.09,0.06,28%,2.501,01.08._05.08.
03.08.16,0.35,0.23,0.12,0.06,0.09,0.09,0.06,27%,2.508,25.07._29.07.
26.07.16,0.35,0.22,0.13,0.06,0.09,0.09,0.06,28%,2.508,18.07._22.07.
20.07.16,0.35,0.22,0.12,0.07,0.09,0.09,0.06,28%,2.502,11.07._15.07.
13.07.16,0.36,0.23,0.12,0.06,0.09,0.08,0.06,27%,2.503,04.07._08.07.
06.07.16,0.35,0.21,0.13,0.06,0.1,0.09,0.06,27%,2.504,27.06._01.07.
28.06.16,0.34,0.22,0.12,0.06,0.09,0.1,0.07,29%,2.501,20.06._24.06.
22.06.16,0.33,0.21,0.13,0.06,0.09,0.11,0.07,29%,2.503,13.06._17.06.
15.06.16,0.33,0.21,0.13,0.06,0.1,0.11,0.06,30%,2.505,06.06._10.06.
08.06.16,0.34,0.21,0.13,0.07,0.1,0.1,0.05,29%,2.501,30.05._03.06.
01.06.16,0.34,0.21,0.13,0.06,0.09,0.1,0.07,29%,2.502,23.05._27.05.
24.05.16,0.33,0.2,0.14,0.06,0.09,0.12,0.06,30%,2.006,17.05._20.05.
17.05.16,0.34,0.19,0.14,0.07,0.09,0.11,0.06,29%,2.501,09.05._13.05.
11.05.16,0.34,0.21,0.13,0.08,0.09,0.1,0.05,27%,2.002,02.05._06.05.
03.05.16,0.34,0.21,0.13,0.08,0.09,0.09,0.06,28%,2.501,25.04._29.04.
27.04.16,0.33,0.22,0.13,0.08,0.09,0.1,0.05,28%,2.502,18.04._22.04.
20.04.16,0.34,0.21,0.13,0.07,0.09,0.11,0.05,29%,2.504,11.04._15.04.
13.04.16,0.34,0.21,0.14,0.07,0.09,0.1,0.05,29%,2.506,04.04._08.04.
06.04.16,0.35,0.21,0.13,0.07,0.08,0.1,0.06,27%,2.004,29.03._01.04.
30.03.16,0.36,0.2,0.13,0.07,0.08,0.1,0.06,29%,2.005,21.03._24.03.
22.03.16,0.35,0.2,0.13,0.06,0.08,0.13,0.05,30%,2.501,14.03._18.03.
16.03.16,0.35,0.22,0.1,0.07,0.1,0.11,0.05,34%,2.505,07.03._11.03.
09.03.16,0.35,0.23,0.11,0.06,0.09,0.1,0.06,33%,2.501,29.02._04.03.
02.03.16,0.35,0.24,0.1,0.06,0.1,0.09,0.06,34%,2.503,22.02._26.02.
24.02.16,0.35,0.24,0.1,0.06,0.1,0.1,0.05,34%,2.502,15.02._19.02.
